doc_id,title,calories,protein,fat,sodium,rating,text_chunk
doc_00002,Stuffed Onions With Spiced Lamb And Pomegranate,411.0,13.0,15.0,946.0,5.0,"Recipe: Stuffed Onions With Spiced Lamb And Pomegranate.
Nutrition per serving: 411 kcal | 13 g protein | 15 g fat | 946 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), moderate-protein (10–24 g), moderate-fat (15–29 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: dairy free, kosher.
Cuisine / style: general.
Meal type: side.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: ground lamb, onion, peanut free, pomegranate, soy free, tree nut free, wheat/gluten-free."
doc_00003,"Dill-Crusted Pork Tenderloin With Farro, Pea, And Blistered Tomato Salad",772.0,53.0,32.0,1467.0,5.0,"Recipe: Dill-Crusted Pork Tenderloin With Farro, Pea, And Blistered Tomato Salad.
Nutrition per serving: 772 kcal | 53 g protein | 32 g fat | 1467 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: dinner.
Main protein source: pork.
Cooking method: standard.
Additional attributes: dill, feta, grains, no sugar added, pea, peanut free, pork tenderloin, soy free, spring, tomato, tree nut free."
doc_00004,"Grilled Flank Steak, Onion And Bell Pepper Sandwiches",529.0,42.0,29.0,2745.0,5.0,"Recipe: Grilled Flank Steak, Onion And Bell Pepper Sandwiches.
Nutrition per serving: 529 kcal | 42 g protein | 29 g fat | 2745 mg sodium.
Nutrition profile: high-calorie (400–700 kcal), high-protein (≥25 g), moderate-fat (15–29 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: sandwich.
Main protein source: not specified.
Cooking method: grill/barbecue.
Additional attributes: bell pepper, onion, steak, summer.
Note: this recipe has unusually extreme nutritional values."
doc_00006,Toasted Salted Pumpkin Seeds,260.0,13.0,23.0,3.0,5.0,"Recipe: Toasted Salted Pumpkin Seeds.
Nutrition per serving: 260 kcal | 13 g protein | 23 g fat | 3 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), moderate-protein (10–24 g), moderate-fat (15–29 g), very low-sodium (< 150 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: not specified.
Cooking method: bake.
Additional attributes: seed."
doc_00010,Sea Scallops With Spiced Bacon,215.0,29.0,6.0,970.0,5.0,"Recipe: Sea Scallops With Spiced Bacon.
Nutrition per serving: 215 kcal | 29 g protein | 6 g fat | 970 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), high-protein (≥25 g), low-fat (5–14 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: dairy free, sugar conscious.
Cuisine / style: curry.
Meal type: appetizer.
Main protein source: seafood.
Cooking method: standard.
Additional attributes: bacon, broil, peanut free, scallop, shellfish, soy free, tree nut free, wheat/gluten-free."
doc_00013,Turkey Giblet Stock,357.0,51.0,14.0,342.0,5.0,"Recipe: Turkey Giblet Stock.
Nutrition per serving: 357 kcal | 51 g protein | 14 g fat | 342 mg sodium.
Nutrition profile: moderate-calorie (200–400 kcal), high-protein (≥25 g), low-fat (5–14 g), moderate-sodium (150–599 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: soup/stew.
Main protein source: turkey.
Cooking method: standard.
Additional attributes: carrot, celery, onion, simmer, winter."
doc_00015,Turkey With Lemon-Sage Butter,972.0,128.0,47.0,663.0,5.0,"Recipe: Turkey With Lemon-Sage Butter.
Nutrition per serving: 972 kcal | 128 g protein | 47 g fat | 663 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: healthy, low fat, sugar conscious.
Cuisine / style: general.
Meal type: dinner.
Main protein source: turkey.
Cooking method: roast.
Additional attributes: butter, fall, lemon, no sugar added, peanut free, poultry, sage, soy free, tree nut free, wheat/gluten-free, winter.
Note: this recipe has unusually extreme nutritional values."
doc_00016,Pancetta Roast Chicken With Walnut Stuffing,1203.0,89.0,87.0,583.0,5.0,"Recipe: Pancetta Roast Chicken With Walnut Stuffing.
Nutrition per serving: 1203 kcal | 89 g protein | 87 g fat | 583 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), moderate-sodium (150–599 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: high fiber.
Cuisine / style: general.
Meal type: dinner.
Main protein source: chicken.
Cooking method: roast.
Additional attributes: bacon, fall, peanut free, soy free, spring, summer, winter."
doc_00019,Whole Roasted Snapper With Artichokes And Aïoli,2589.0,98.0,190.40999999999983,1360.0,5.0,"Recipe: Whole Roasted Snapper With Artichokes And Aïoli.
Nutrition per serving: 2589 kcal | 98 g protein | 190 g fat | 1360 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: healthy.
Cuisine / style: general.
Meal type: general purpose.
Main protein source: egg.
Cooking method: roast.
Additional attributes: artichoke, fry, garlic, lemon, rosemary, snapper, thyme, tomato.
Note: this recipe has unusually extreme nutritional values."
doc_00023,Croque-Monsieur,794.0,41.0,51.0,1499.0,5.0,"Recipe: Croque-Monsieur.
Nutrition per serving: 794 kcal | 41 g protein | 51 g fat | 1499 mg sodium.
Nutrition profile: very high-calorie (over 700 kcal), high-protein (≥25 g), high-fat (≥ 30 g), high-sodium (≥ 600 mg).
User rating: 5.00/5 — outstanding (≥ 4.5).
Diet suitability: none specified.
Cuisine / style: general.
Meal type: lunch, sandwich.
Main protein source: not specified.
Cooking method: standard.
Additional attributes: broil, ham, peanut free, soy free, swiss cheese, tree nut free."
